year,league,player_name,team,batting_avg,hits,home_runs,so,stolen_bases,wins
2010,AL,C.C. Sabathia,New York,,,,,,21.0
2010,NL,Carlos Gonzalez,Colorado,0.336,197.0,,,,
2010,AL,Ichiro Suzuki,Seattle,,214.0,,,,
2010,AL,Jered Weaver,Los Angeles,,,,233.0,,
2010,AL,Jose Bautista,Toronto,,,54.0,,,
2010,AL,Josh Hamilton,Texas,0.359,,,,,
2010,AL,Juan Pierre,Chicago,,,,,68.0,
2010,NL,Michael Bourn,Houston,,,,,52.0,
2010,NL,Roy Hallady,Philadelphia,,,,,,21.0
2010,NL,Tim Lincecum,San Francisco,,,,231.0,,
2011,AL,Adrian Gonzalez,Boston,,213.0,,,,
2011,NL,Clayton Kershaw,Los Angeles,,,,248.0,,
2011,AL,Coco Crisp,Oakland,,,,,49.0,
2011,NL,Ian Kennedy,Arizona,,,,,,21.0
2011,AL,Jose Bautista,Toronto,,,43.0,,,
2011,NL,Jose Reyes,New York,0.337,,,,,
2011,AL,Justin Verlander,Detroit,,,,250.0,,24.0
2011,NL,Matt Kemp,Los Angeles,,,39.0,,,
2011,NL,Michael Bourn,Houston / Atlanta,,,,,61.0,
2011,AL,Miguel Cabrera,Detroit,0.344,,,,,
2011,NL,Starlin Castro,Chicago,,207.0,,,,
2012,NL,Andrew McCutchen,Pittsburgh,,194.0,,,,
2012,NL,Buster Posey *,San Francisco,0.336,,,,,
2012,AL,David Price,Tampa Bay,,,,,,20.0
2012,AL,Derek Jeter,New York,,216.0,,,,
2012,NL,Everth Cabrera,San Diego,,,,,44.0,
2012,NL,Gio Gonzalez,Washington,,,,,,21.0
2012,AL,Justin Verlander,Detroit,,,,239.0,,
2012,AL,Miguel Cabrera,Detroit,0.33,,44.0,,,
2012,AL,Mike Trout,Los Angeles,,,,,49.0,
2012,NL,R.A. Dickey,New York,,,,230.0,,
2012,NL,Ryan Braun,Milwaukee,,,41.0,,,
2013,NL,Adam Wainwright,St. Louis,,,,,,19.0
2013,AL,Adrian Beltre,Texas,,199.0,,,,
2013,AL,Chris Davis,Baltimore,,,53.0,,,
2013,NL,Clayton Kershaw,Los Angeles,,,,232.0,,
2013,NL,Eric Young,Colorado / New York,,,,,46.0,
2013,AL,Jacoby Ellsbury,Boston,,,,,52.0,
2013,NL,Matt Carpenter,St. Louis,,199.0,,,,
2013,AL,Max Scherzer,Detroit,,,,,,21.0
2013,NL,Michael Cuddyer,Colorado,0.331,,,,,
2013,AL,Miguel Cabrera,Detroit,0.348,,,,,
2013,NL,Pedro Alvarez,Pittsburgh,,,36.0,,,
2013,AL,Yu Darvish,Texas,,,,277.0,,
2014,NL,Ben Revere,Philadelphia,,184.0,,,,
2014,NL,Clayton Kershaw,Los Angeles,,,,,,21.0
2014,AL,Corey Kluber,Texas,,,,,,18.0
2014,AL,David Price,Tampa Bay / Detroit,,,,271.0,,
2014,NL,Dee Strange-Gordon,Los Angeles,,,,,64.0,
2014,NL,Giancarlo Stanton,Miami,,,37.0,,,
2014,NL,Johnny Cueto,Cincinnati,,,,242.0,,
2014,AL,Jose Altuve,Chicago,,,,,56.0,
2014,NL,Justin Morneau,Colorado,0.319,,,,,
2014,AL,Nelson Cruz,Baltimore,,,40.0,,,
2015,AL,Chris Davis,Baltimore,,,47.0,,,
2015,AL,Chris Sale,Chicago,,,,274.0,,
2015,NL,Clayton Kershaw,Los Angeles,,,,301.0,,
2015,AL,Dallas Keuchel,Houston,,,,,,20.0
2015,NL,Dee Gordon,Miami,0.333,205.0,,,58.0,
2015,NL,Jake Arrieta,Chicago,,,,,,22.0
2015,AL,Jose Altuve,Houston,,200.0,,,38.0,
2015,AL,Miguel Cabrera,Detroit,0.338,,,,,
2015,NL,Nolan Arenado,Colorado,,,42.0,,,
2016,NL,DJ LeMahieu,Colorado,0.348,,,,,
2016,NL,Jean Segura,Arizona,,203.0,,,,
2016,NL,Jonathan Villar,Milwaukee,,,,,62.0,
2016,AL,Jose Altuve,Houston,0.338,216.0,,,,
2016,AL,Justin Verlander,Detroit,,,,254.0,,
2016,AL,Mark Trumbo,Baltimore,,,47.0,,,
2016,NL,Max Scherzer,Washington,,,,284.0,,20.0
2016,NL,Nolan Arenado,Colorado,,,41.0,,,
2016,AL,Rajai Davis,Cleveland,,,,,43.0,
2016,AL,Rick Porcello,Boston,,,,,,22.0
2017,AL,Aaron Judge,Yankees,,,52.0,,,
2017,AL,Carlos Carrasco,Guardians,,,,,,18.0
2017,NL,Charlie Blackmon,Rockies,0.331,213.0,,,,
2017,AL,Chris Sale,Red Sox,,,,308.0,,
2017,NL,Clayton Kershaw,Dodgers,,,,,,18.0
2017,NL,Dee Gordon,Marlins,,,,,60.0,
2017,NL,Giancarlo Stanton,Marlins,,,59.0,,,
2017,AL,Jose Altuve,Astros,0.346,204.0,,,,
2017,NL,Max Scherzer,Nationals,,,,268.0,,
2017,AL,Whit Merrifield,Royals,,,,,34.0,
2018,AL,Blake Snell,Rays,,,,,,21.0
2018,NL,Christian Yelich,Brewers,0.326,,,,,
2018,NL,Freddie Freeman,Braves,,191.0,,,,
2018,NL,Jon Lester,Cubs,,,,,,18.0
2018,AL,Justin Verlander,Astros,,,,290.0,,
2018,AL,Khris Davis,Athletics,,,48.0,,,
2018,NL,Max Scherzer,Nationals,,,,300.0,,
2018,AL,Mookie Betts,Red Sox,0.346,,,,,
2018,NL,Nolan Arenado,Rockies,,,38.0,,,
2018,NL,Trea Turner,Nationals,,,,,43.0,
2018,AL,Whit Merrifield,Royals,,192.0,,,45.0,
2019,NL,Christian Yelich,Brewers,0.329,,,,,
2019,AL,Gerrit Cole,Astros,,,,326.0,,
2019,NL,Jacob deGrom,Mets,,,,255.0,,
2019,AL,Jorge Soler,Royals,,,48.0,,,
2019,AL,Justin Verlander,Astros,,,,,,21.0
2019,AL,Mallex Smith,Rays,,,,,46.0,
2019,NL,Ozzie Albies,Braves,,189.0,,,,
2019,NL,Pete Alonso,Mets,,,53.0,,,
2019,NL,Ronald Acuna Jr.,Braves,,,,,37.0,
2019,NL,Stephen Strasburg,Nationals,,,,,,18.0
2019,AL,Tim Anderson,White Sox,0.335,,,,,
2019,AL,Whit Merrifield,Royals,,206.0,,,,
2020,AL,Adalberto Mondesi,Royals,,,,,24.0,
2020,AL,DJ LeMahieu,Yankees,0.364,,,,,
2020,NL,Jacob deGrom,Mets,,,,104.0,,
2020,AL,Jose Abreu,White Sox,,76.0,,,,
2020,NL,Juan Soto,Nationals,0.351,,,,,
2020,AL,Luke Voit,Yankees,,,22.0,,,
2020,NL,Marcell Ozuna,Braves,,,18.0,,,
2020,AL,Shane Bieber,Guardians,,,,122.0,,8.0
2020,NL,Trea Turner,Nationals,,78.0,,,,
2020,NL,Trevor Story,Rockies,,,,,15.0,
2020,NL,Yu Darvish,Cubs,,,,,,8.0
2021,AL,Bo Bichette,Blue Jays,,191.0,,,,
2021,NL,Fernando Tatis Jr.,Padres,,,42.0,,,
2021,AL,Gerrit Cole,Yankees,,,,,,16.0
2021,NL,Julio Urias,Dodgers,,,,,,20.0
2021,AL,Robbie Ray,Blue Jays,,,,248.0,,
2021,NL,Trea Turner,Nationals,0.328,195.0,,,32.0,
2021,AL,Vladimir Guerrero Jr.,Blue Jays,,,48.0,,,
2021,AL,Whit Merrifield,Royals,,,,,40.0,
2021,AL,Yuli Gurriel,Astros,0.319,,,,,
2021,NL,Zack Wheeler,Phillies,,,,247.0,,
2022,AL,Aaron Judge,Yankees,,,62.0,,,
2022,AL,Bo Bichette,Blue Jays,,189.0,,,,
2022,AL,Corbin Burnes,Brewers,,,,243.0,,
2022,NL,Corbin Burnes,Brewers,,,,243.0,,
2022,NL,Freddie Freeman,Dodgers,,11.0,,,,
2022,NL,Jeff McNeil,Mets,0.326,,,,,
2022,NL,Jon Berti,Marlins,,,,,41.0,
2022,AL,Jorge Mateo,Orioles,,,,,35.0,
2022,AL,Justin Verlander,Astros,,,,,,18.0
2022,NL,Kyle Schwarber,Phillies,,,46.0,,,
2022,NL,Kyle Wright,Braves,,,,,,21.0
2022,AL,Luis Arraez,Twins,0.316,,,,,
2023,AL,Chris Bassitt,Blue Jays,,,,,,16.0
2023,AL,Esteury Ruiz,Athletics,,,,,67.0,
2023,AL,Kevin Gausman,Blue Jays,,,,237.0,,
2023,NL,Luis Arraez,Marlins,0.354,,,,,
2023,AL,Marcus Semien,Rangers,,185.0,,,,
2023,NL,Matt Olson,Braves,,,54.0,,,
2023,NL,Ronald Acuña Jr.,Braves,,217.0,,,73.0,
2023,AL,Shohei Ohtani,Angels,,,44.0,,,
2023,NL,Spencer Strider,Braves,,,,281.0,,20.0
2023,AL,Yandy Díaz,Rays,0.33,,,,,
